"PATNO","EVENT_ID","cjv","cnr","efc","fber","rpve_csf","rpve_gm","rpve_wm","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"3836","BL","0.730406","1.34091","0.546802","2443.78","8.11036","7.9875","8.08129","3.4182","3.55601","3.50151","3.19709","10.1835","0","9.45332","0","2983790","0","39.9107","15.4478","-0.843851","162.822","382.4","367.321","354115","93.6607","710.804","195.57","-0.218702","96.8325","706.469","698.839","487021","461.429","975.089","151.889","-0.230411","82.8669","932.065","944.866","475715","743.08","1079.38","101.759","0.26891","0.369838","0.361252","0.758351","0.327636","1.87821","4.60097","5.25482","9.28529","15.578","29.6376","28.4291","40.0716"
"3838","BL","0.665235","1.40669","0.565841","2836.81","6.54736","6.42493","6.52911","3.56109","3.68345","3.69048","3.30933","5.77261","0","7.3189","0","2462710","0","29.8147","11.4569","-0.875219","168.119","393.383","383.024","426064","82.6842","725.356","209.823","1.51233","92.7207","689.755","678.619","612643","448.25","969.469","152.454","0.359928","84.0261","923.664","944.31","584156","709.956","1073.82","110.909","0.262539","0.377508","0.359954","0.749848","0.363765","1.82546","4.45129","4.93034","8.51426","21.9025","38.8055","38.2354","53.9984"
"3850","BL","0.61339","1.4981","0.4915","3784.74","7.74314","7.63495","7.73913","3.62448","3.67059","3.76047","3.44238","5.89342","6.6782","6.1894","4.50438","3337490","0","23.0535","8.37269","-0.845836","159.24","384.732","366.617","374575","109.112","703.019","192.207","0.309828","90.0105","681.525","676.076","515876","433.763","957.586","149.977","-0.214504","76.2808","926.102","947.178","486216","726.716","1058.78","100.919","0.272088","0.374728","0.353184","0.602914","0.190017","1.9074","4.50785","5.26693","9.38553","35.9654","66.3236","65.0693","92.9189"
"3851","BL","0.674689","1.4038","0.507604","5685.59","7.85419","7.72711","7.81341","3.73037","3.78367","3.8744","3.53303","4.50087","0","6.03234","0","3149760","0","23.6562","8.96648","-0.9287","170.466","367.535","349.605","369144","85.8163","700.31","197.844","0.139297","86.8656","698.087","688.265","510157","473.925","958.193","140.265","-0.282433","80.7316","914.145","936.672","481151","706.65","1056.92","107.507","0.271339","0.374991","0.35367","0.688832","0.28398","1.76707","4.90689","5.12886","8.71262","25.5439","50.2882","48.09","68.438"
"3852","BL","0.853145","0.90934","0.614607","1972.84","6.41568","6.25271","6.36425","3.40032","3.44386","3.55805","3.19904","922.103","0","10.333","0","2704190","0","40.8661","33.5843","-0.688035","147.579","366.81","338.363","430176","116.178","695.988","181.277","9.58017","89.9094","692.354","702.737","596820","268.722","1048.18","225.296","-0.528217","110.962","923.971","938.185","627515","707.798","1105.21","123.105","0.260002","0.360723","0.379275","0.847907","0.376716","1.86655","3.11918","4.20225","7.62102","6.60053","13.7084","12.8701","18.3014"
"3853","BL","0.667479","1.34906","0.564859","3437.19","6.91549","6.79203","6.90034","3.7846","3.91738","3.90274","3.53367","667.296","0","7.58622","0","2587710","0","27.2256","35.0813","-0.748589","160.104","377.772","356.236","402535","87.1965","713.081","203.362","0.974434","95.038","672.278","667.468","577389","399.953","962.819","162.162","-0.269897","84.4949","912.873","936.44","557221","701.602","1060.51","110.563","0.261872","0.375624","0.362504","0.725111","0.333069","1.75173","4.11604","4.77917","8.46974","6.65264","12.4648","12.2018","17.4878"
"3854","BL","0.602717","1.74914","0.606743","2401","6.50132","6.42078","6.52575","3.71246","3.71983","3.91862","3.49892","20.7071","0","7.07652","0","2561340","0","29.6262","11.0239","-0.21996","151.446","399.922","395.209","439723","86.7569","718.05","199.749","0.0286516","99.4006","681.147","674.15","619211","466.806","930.718","136.016","0.316158","71.6051","945.833","957.875","575993","779.655","1069.05","87.6899","0.268956","0.378739","0.352305","0.693035","0.301511","1.97853","4.9564","5.95278","10.9234","23.4867","40.0639","40.1586","56.9252"
"3855","BL","0.595986","1.72237","0.514665","7623.19","7.54501","7.45338","7.54501","3.80614","3.85554","3.93067","3.6322","5.98187","0","5.41529","0","3198900","0","22.983","8.40181","-0.851343","158.66","376.959","360.456","373424","91.7525","699.006","194.348","-0.627924","92.3742","682.239","674.677","539424","473.845","928.447","131.133","-0.328476","72.8523","933.925","951.909","501945","751.436","1057.4","92.9603","0.263942","0.381274","0.354783","0.639372","0.238556","1.85469","5.14497","5.74653","10.2399","28.1068","52.6083","51.6469","74.2257"
"3857","BL","0.588688","1.67166","0.511113","4062.19","8.52413","8.42487","8.52341","3.76843","3.85907","3.9105","3.53573","5.76481","0","5.71014","0","3149200","0","23.2259","8.63687","-0.834373","157.74","367.832","352.839","343080","84.1765","685.268","193.267","-0.512574","91.448","664.277","656.931","475238","446.716","921.178","135.943","-0.21256","78.6638","920.358","945.899","434685","708.877","1055.46","106.425","0.273806","0.379279","0.346914","0.666765","0.256311","1.82565","4.83238","5.182","8.88796","26.7641","49.8305","49.4481","71.7497"
"3860","BL","0.59081","1.62027","0.542755","5809.58","7.70511","7.60904","7.70982","3.61678","3.73328","3.71709","3.39998","6.29945","0","5.41264","0","2845080","0","23.7464","9.0476","-0.81908","161.453","372.305","357.607","379545","85.228","694.441","195.903","1.25696","94.2608","676.954","669.17","519204","439.328","950.506","146.694","-0.240576","73.3517","934.57","952.869","485402","746.393","1060.51","95.1684","0.274208","0.375107","0.350686","0.676779","0.264805","1.82543","4.56168","5.46652","10.0124","25.8943","48.4546","47.782","68.9972"
